universe,config,date,asset,weight
CORE20Y,regime开(MA关),2004-02-25,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-26,沪深300,1.0
CORE20Y,regime开(MA关),2004-02-27,沪深300,1.0
CORE20Y,regime开(MA关),2004-03-01,沪深300,1.0
CORE20Y,regime开(MA关),2004-03-02,沪深300,1.0
CORE20Y,regime开(MA关),2004-03-03,上证国债指,1.0
CORE20Y,regime开(MA关),2004-03-04,沪深300,1.0
CORE20Y,regime开(MA关),2004-03-05,沪深300,1.0
CORE20Y,regime开(MA关),2004-03-08,上证国债指,1.0
CORE20Y,regime开(MA关),2004-03-09,上证国债指,1.0
CORE20Y,regime开(MA关),2004-03-10,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-11,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-12,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-15,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-16,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-17,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-18,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-19,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-22,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-23,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-24,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-25,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-26,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-29,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-30,上证综指,1.0
CORE20Y,regime开(MA关),2004-03-31,上证综指,1.0
CORE20Y,regime开(MA关),2004-04-01,上证综指,1.0
CORE20Y,regime开(MA关),2004-04-02,上证综指,1.0
CORE20Y,regime开(MA关),2004-04-05,上证综指,1.0
CORE20Y,regime开(MA关),2004-04-06,上证综指,1.0
CORE20Y,regime开(MA关),2004-04-07,上证综指,1.0
CORE20Y,regime开(MA关),2004-04-08,上证综指,1.0
CORE20Y,regime开(MA关),2004-04-09,上证综指,1.0
CORE20Y,regime开(MA关),2004-04-12,上证综指,1.0
CORE20Y,regime开(MA关),2004-04-13,上证国债指,1.0
CORE20Y,regime开(MA关),2004-04-14,上证国债指,1.0
CORE20Y,regime开(MA关),2004-04-15,上证综指,1.0
CORE20Y,regime开(MA关),2004-04-16,上证国债指,1.0
CORE20Y,regime开(MA关),2004-04-19,上证国债指,1.0
CORE20Y,regime开(MA关),2004-04-20,上证综指,1.0
CORE20Y,regime开(MA关),2004-04-21,上证国债指,1.0
CORE20Y,regime开(MA关),2004-04-22,上证综指,1.0
CORE20Y,regime开(MA关),2004-04-23,上证国债指,1.0
CORE20Y,regime开(MA关),2004-04-26,上证综指,1.0
CORE20Y,regime开(MA关),2004-04-27,上证国债指,1.0
CORE20Y,regime开(MA关),2004-04-28,上证国债指,1.0
CORE20Y,regime开(MA关),2004-04-29,上证国债指,1.0
CORE20Y,regime开(MA关),2004-04-30,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-10,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-11,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-12,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-13,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-14,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-17,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-18,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-19,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-20,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-21,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-24,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-25,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-26,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-27,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-28,上证国债指,1.0
CORE20Y,regime开(MA关),2004-05-31,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-01,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-02,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-03,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-04,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-07,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-08,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-09,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-10,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-11,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-14,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-15,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-16,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-17,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-18,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-21,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-22,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-23,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-24,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-25,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-28,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-29,上证国债指,1.0
CORE20Y,regime开(MA关),2004-06-30,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-01,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-02,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-05,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-06,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-07,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-08,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-09,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-12,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-13,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-14,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-15,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-16,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-19,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-20,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-21,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-22,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-23,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-26,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-27,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-28,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-29,上证国债指,1.0
CORE20Y,regime开(MA关),2004-07-30,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-02,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-03,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-04,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-05,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-06,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-09,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-10,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-11,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-12,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-13,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-16,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-17,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-18,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-19,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-20,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-23,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-24,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-25,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-26,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-27,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-30,上证国债指,1.0
CORE20Y,regime开(MA关),2004-08-31,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-01,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-02,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-03,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-06,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-07,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-08,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-09,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-10,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-13,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-14,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-15,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-16,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-17,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-20,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-21,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-22,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-23,沪深300,1.0
CORE20Y,regime开(MA关),2004-09-24,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-27,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-28,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-29,上证国债指,1.0
CORE20Y,regime开(MA关),2004-09-30,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-08,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-11,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-12,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-13,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-14,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-15,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-18,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-19,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-20,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-21,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-22,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-25,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-26,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-27,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-28,上证国债指,1.0
CORE20Y,regime开(MA关),2004-10-29,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-01,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-02,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-03,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-04,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-05,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-08,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-09,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-10,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-11,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-12,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-15,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-16,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-17,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-18,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-19,上证综指,1.0
CORE20Y,regime开(MA关),2004-11-22,上证综指,1.0
CORE20Y,regime开(MA关),2004-11-23,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-24,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-25,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-26,上证国债指,1.0
CORE20Y,regime开(MA关),2004-11-29,上证国债指,1.0
